Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38
Data,7,record,timestamp,776619758,s,position_lat,461198918,semicircles,position_long,-1464998652,semicircles,distance,53037.36,m,altitude,56.8,m,speed,9.543,m/s,cadence,82,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619759,s,position_lat,461198232,semicircles,position_long,-1464997746,semicircles,distance,53046.55,m,altitude,56.4,m,speed,9.425,m/s,cadence,82,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619760,s,position_lat,461197566,semicircles,position_long,-1464996850,semicircles,distance,53055.55,m,altitude,56,m,speed,9.185,m/s,cadence,81,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619761,s,position_lat,461196905,semicircles,position_long,-1464995922,semicircles,distance,53064.7,m,altitude,56,m,speed,9.171,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619768,s,position_lat,461192233,semicircles,position_long,-1464989488,semicircles,distance,53128.68,m,altitude,56,m,speed,8.952,m/s,cadence,81,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619769,s,position_lat,461191544,semicircles,position_long,-1464988578,semicircles,distance,53137.91,m,altitude,56,m,speed,9.398,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619774,s,position_lat,461188109,semicircles,position_long,-1464983887,semicircles,distance,53184.74,m,altitude,56,m,speed,9.18,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619780,s,position_lat,461184150,semicircles,position_long,-1464978291,semicircles,distance,53239.73,m,altitude,56,m,speed,9.315,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619787,s,position_lat,461179424,semicircles,position_long,-1464971692,semicircles,distance,53304.93,m,altitude,56,m,speed,9.094,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619794,s,position_lat,461174807,semicircles,position_long,-1464965140,semicircles,distance,53369.2,m,altitude,56,m,speed,9.302,m/s,cadence,79,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619801,s,position_lat,461170292,semicircles,position_long,-1464958742,semicircles,distance,53432.01,m,altitude,56,m,speed,8.772,m/s,cadence,75,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619806,s,position_lat,461167053,semicircles,position_long,-1464954260,semicircles,distance,53476.49,m,altitude,56,m,speed,9.044,m/s,cadence,77,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619813,s,position_lat,461162575,semicircles,position_long,-1464947820,semicircles,distance,53539.3,m,altitude,56,m,speed,8.716,m/s,cadence,77,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619814,s,position_lat,461161959,semicircles,position_long,-1464946906,semicircles,distance,53548.08,m,altitude,56,m,speed,8.83,m/s,cadence,76,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619821,s,position_lat,461157214,semicircles,position_long,-1464940597,semicircles,distance,53611.87,m,altitude,56,m,speed,9.519,m/s,cadence,82,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619828,s,position_lat,461151959,semicircles,position_long,-1464933905,semicircles,distance,53680.98,m,altitude,56,m,speed,9.586,m/s,cadence,84,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619835,s,position_lat,461146867,semicircles,position_long,-1464927380,semicircles,distance,53748.15,m,altitude,56,m,speed,9.854,m/s,cadence,83,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619836,s,position_lat,461146115,semicircles,position_long,-1464926422,semicircles,distance,53758.04,m,altitude,56,m,speed,9.906,m/s,cadence,84,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619843,s,position_lat,461140975,semicircles,position_long,-1464919886,semicircles,distance,53825.57,m,altitude,56,m,speed,9.468,m/s,cadence,84,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619846,s,position_lat,461138761,semicircles,position_long,-1464917123,semicircles,distance,53854.39,m,altitude,56,m,speed,9.389,m/s,cadence,83,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619853,s,position_lat,461133602,semicircles,position_long,-1464910704,semicircles,distance,53921.45,m,altitude,56,m,speed,9.284,m/s,cadence,82,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619854,s,position_lat,461132896,semicircles,position_long,-1464909811,semicircles,distance,53930.71,m,altitude,56,m,speed,9.299,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619861,s,position_lat,461128183,semicircles,position_long,-1464903956,semicircles,distance,53991.94,m,altitude,56,m,speed,8.172,m/s,cadence,71,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619867,s,position_lat,461124748,semicircles,position_long,-1464899829,semicircles,distance,54035.86,m,altitude,56,m,speed,7.109,m/s,cadence,61,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619871,s,position_lat,461122479,semicircles,position_long,-1464897101,semicircles,distance,54064.87,m,altitude,56.4,m,speed,6.955,m/s,cadence,63,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619872,s,position_lat,461121949,semicircles,position_long,-1464896411,semicircles,distance,54071.92,m,altitude,56.8,m,speed,6.954,m/s,cadence,0,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619873,s,position_lat,461121402,semicircles,position_long,-1464895720,semicircles,distance,54079.09,m,altitude,57.2,m,speed,7.092,m/s,cadence,30,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619874,s,position_lat,461120826,semicircles,position_long,-1464895031,semicircles,distance,54086.43,m,altitude,57.6,m,speed,7.357,m/s,cadence,62,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619875,s,position_lat,461120192,semicircles,position_long,-1464894283,semicircles,distance,54094.47,m,altitude,58,m,speed,7.855,m/s,cadence,64,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619878,s,position_lat,461118356,semicircles,position_long,-1464891937,semicircles,distance,54118.65,m,altitude,58,m,speed,8.396,m/s,cadence,71,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619885,s,position_lat,461113699,semicircles,position_long,-1464886050,semicircles,distance,54179.67,m,altitude,58,m,speed,8.42,m/s,cadence,76,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619886,s,position_lat,461113088,semicircles,position_long,-1464885251,semicircles,distance,54187.81,m,altitude,58,m,speed,8.151,m/s,cadence,75,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619891,s,position_lat,461110071,semicircles,position_long,-1464881473,semicircles,distance,54227.15,m,altitude,58,m,speed,7.601,m/s,cadence,67,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619897,s,position_lat,461106744,semicircles,position_long,-1464877142,semicircles,distance,54271.41,m,altitude,58,m,speed,7.6,m/s,cadence,66,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619898,s,position_lat,461106104,semicircles,position_long,-1464876388,semicircles,distance,54279.51,m,altitude,58.4,m,speed,7.524,m/s,cadence,65,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619899,s,position_lat,461105499,semicircles,position_long,-1464875668,semicircles,distance,54287.21,m,altitude,59,m,speed,7.627,m/s,cadence,66,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619900,s,position_lat,461104901,semicircles,position_long,-1464874929,semicircles,distance,54294.96,m,altitude,59.4,m,speed,7.706,m/s,cadence,67,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619901,s,position_lat,461104328,semicircles,position_long,-1464874208,semicircles,distance,54302.46,m,altitude,59.8,m,speed,7.572,m/s,cadence,66,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619902,s,position_lat,461103777,semicircles,position_long,-1464873538,semicircles,distance,54309.53,m,altitude,60.2,m,speed,7.028,m/s,cadence,66,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619903,s,position_lat,461103209,semicircles,position_long,-1464872869,semicircles,distance,54316.73,m,altitude,60.6,m,speed,7.086,m/s,cadence,43,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619904,s,position_lat,461102665,semicircles,position_long,-1464872232,semicircles,distance,54323.6,m,altitude,61,m,speed,6.77,m/s,cadence,53,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619905,s,position_lat,461102114,semicircles,position_long,-1464871550,semicircles,distance,54330.74,m,altitude,61.4,m,speed,6.778,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619906,s,position_lat,461101598,semicircles,position_long,-1464870869,semicircles,distance,54337.65,m,altitude,61.8,m,speed,6.96,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619907,s,position_lat,461101079,semicircles,position_long,-1464870217,semicircles,distance,54344.43,m,altitude,62.2,m,speed,6.823,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619908,s,position_lat,461100553,semicircles,position_long,-1464869599,semicircles,distance,54351.08,m,altitude,62.6,m,speed,6.785,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619909,s,position_lat,461100033,semicircles,position_long,-1464868958,semicircles,distance,54357.81,m,altitude,63.2,m,speed,6.712,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619910,s,position_lat,461099520,semicircles,position_long,-1464868340,semicircles,distance,54364.38,m,altitude,63.6,m,speed,6.597,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619911,s,position_lat,461099014,semicircles,position_long,-1464867701,semicircles,distance,54371,m,altitude,64,m,speed,6.642,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619912,s,position_lat,461098470,semicircles,position_long,-1464867011,semicircles,distance,54378.14,m,altitude,64.4,m,speed,6.84,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619914,s,position_lat,461097425,semicircles,position_long,-1464865706,semicircles,distance,54391.75,m,altitude,64.8,m,speed,6.857,m/s,cadence,59,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619915,s,position_lat,461096953,semicircles,position_long,-1464865046,semicircles,distance,54398.26,m,altitude,65.2,m,speed,6.401,m/s,cadence,58,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619916,s,position_lat,461096493,semicircles,position_long,-1464864435,semicircles,distance,54404.45,m,altitude,66.2,m,speed,6.184,m/s,cadence,56,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619917,s,position_lat,461096043,semicircles,position_long,-1464863836,semicircles,distance,54410.5,m,altitude,66.6,m,speed,5.989,m/s,cadence,54,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619920,s,position_lat,461094710,semicircles,position_long,-1464862123,semicircles,distance,54428.11,m,altitude,66.6,m,speed,5.828,m/s,cadence,51,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619921,s,position_lat,461094282,semicircles,position_long,-1464861584,semicircles,distance,54433.7,m,altitude,67.2,m,speed,5.692,m/s,cadence,36,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619922,s,position_lat,461093853,semicircles,position_long,-1464860998,semicircles,distance,54439.56,m,altitude,67.6,m,speed,5.866,m/s,cadence,22,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619923,s,position_lat,461093422,semicircles,position_long,-1464860378,semicircles,distance,54445.6,m,altitude,68,m,speed,6.075,m/s,cadence,32,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619924,s,position_lat,461092961,semicircles,position_long,-1464859682,semicircles,distance,54452.25,m,altitude,68.4,m,speed,6.647,m/s,cadence,49,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619925,s,position_lat,461092452,semicircles,position_long,-1464858922,semicircles,distance,54459.54,m,altitude,69,m,speed,7.307,m/s,cadence,57,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619926,s,position_lat,461091889,semicircles,position_long,-1464858087,semicircles,distance,54467.58,m,altitude,69,m,speed,7.848,m/s,cadence,61,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619930,s,position_lat,461089826,semicircles,position_long,-1464854044,semicircles,distance,54502.85,m,altitude,68.6,m,speed,9.119,m/s,cadence,78,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619931,s,position_lat,461089406,semicircles,position_long,-1464852924,semicircles,distance,54511.9,m,altitude,68,m,speed,9.129,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619932,s,position_lat,461089033,semicircles,position_long,-1464851780,semicircles,distance,54520.94,m,altitude,67.6,m,speed,9.062,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619933,s,position_lat,461088755,semicircles,position_long,-1464850589,semicircles,distance,54530.01,m,altitude,67.2,m,speed,8.612,m/s,cadence,80,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619934,s,position_lat,461088531,semicircles,position_long,-1464849474,semicircles,distance,54538.41,m,altitude,66.8,m,speed,8.38,m/s,cadence,34,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619935,s,position_lat,461088391,semicircles,position_long,-1464848328,semicircles,distance,54546.87,m,altitude,66.8,m,speed,8.461,m/s,cadence,73,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619936,s,position_lat,461088300,semicircles,position_long,-1464847167,semicircles,distance,54555.39,m,altitude,66.8,m,speed,8.528,m/s,cadence,73,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619937,s,position_lat,461088275,semicircles,position_long,-1464846027,semicircles,distance,54563.71,m,altitude,66.4,m,speed,8.398,m/s,cadence,73,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619938,s,position_lat,461088281,semicircles,position_long,-1464844908,semicircles,distance,54571.87,m,altitude,66,m,speed,8.318,m/s,cadence,72,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619939,s,position_lat,461088308,semicircles,position_long,-1464843775,semicircles,distance,54580.14,m,altitude,65.6,m,speed,8.192,m/s,cadence,71,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619940,s,position_lat,461088347,semicircles,position_long,-1464842674,semicircles,distance,54588.18,m,altitude,65.2,m,speed,8.065,m/s,cadence,70,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,record,timestamp,776619941,s,position_lat,461088374,semicircles,position_long,-1464841582,semicircles,distance,54596.15,m,altitude,64.8,m,speed,7.873,m/s,cadence,68,rpm,temperature,12,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
